[拠点名],品目番号,品目名称,Strategic Product,ﾗｲﾌｻｲｸﾙ,Strategic Product,foo,Importance,価格,通貨,需要見込み合計［概算］,安全在庫,受注残,手持在庫,下位部品在庫,発注残,要求数量［概算］,発注提案書数量,同月出荷可能数量,N2月月末時点在庫数,N2月中間時点在庫数,Air数量,丸め,PSI,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,6ヶ月平均出荷実績,12ヶ月平均出荷実績,実績期間,DA,DS,L/T,ISP/RSP/GSP,MAPE,予測手法変更,予測数量変更,安全在庫変更,計算された安全在庫,出荷プラント,MRP管理者,予測手法,発注金額,重要品目y1,販社B/O(ASL品),"下降予測
(ﾗｲﾌｻｲｸﾙ1のみ)",月中確認品目,修正有無,修正方法,備考1,備考2,実施内容,対応実施,KDAコメント,S/B対応
210_KDA,AA0059,Product-59,n,4:Decline,Freq 6/6,foo,Normal,53.15,USD,142,6,0,89,0,60,-2,0,0,45,62,0,6,3_Forecast,36,32,34,38,32,25,32,33,31,25,42,31,36,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0059,Product-59,n,4:Decline,Freq 6/6,foo,Normal,53.15,USD,142,6,0,89,0,60,-2,0,0,45,62,0,6,4_End_Stock,13,12,45,79,112,89,,,,,,31,36,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0064,Product-64,n,4:Decline,Freq 6/6,foo,2nd Most Important,34.78,USD,454,23,0,209,0,178,88,0,0,55,110,0,6,1_Order,96,210,0,0,0,,,,,,,100,111,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0064,Product-64,n,4:Decline,Freq 6/6,foo,2nd Most Important,34.78,USD,454,23,0,209,0,178,88,0,0,55,110,0,6,2_Incoming,210,0,0,110,68,,,,,,,100,111,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0064,Product-64,n,4:Decline,Freq 6/6,foo,2nd Most Important,34.78,USD,454,23,0,209,0,178,88,0,0,55,110,0,6,3_Forecast,113,103,109,122,101,103,99,82,83,134,98,100,111,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0064,Product-64,n,4:Decline,Freq 6/6,foo,2nd Most Important,34.78,USD,454,23,0,209,0,178,88,0,0,55,110,0,6,4_End_Stock,48,-48,55,164,176,209,,,,,,100,111,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0065,Product-65,n,4:Decline,Freq 6/6,foo,2nd Most Important,49.84,USD,109,7,0,48,0,30,37,18,25,-2,11,0,6,1_Order,24,48,18,0,0,,,,,,,24,25,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0065,Product-65,n,4:Decline,Freq 6/6,foo,2nd Most Important,49.84,USD,109,7,0,48,0,30,37,18,25,-2,11,0,6,2_Incoming,48,18,0,6,24,,,,,,,24,25,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0065,Product-65,n,4:Decline,Freq 6/6,foo,2nd Most Important,49.84,USD,109,7,0,48,0,30,37,18,25,-2,11,0,6,3_Forecast,27,25,26,29,24,40,18,22,23,20,22,24,25,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0065,Product-65,n,4:Decline,Freq 6/6,foo,2nd Most Important,49.84,USD,109,7,0,48,0,30,37,18,25,-2,11,0,6,4_End_Stock,12,-9,-2,24,47,48,,,,,,24,25,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0066,Product-66,n,4:Decline,Freq 6/6,foo,2nd Most Important,69.55,USD,113,5,0,56,0,39,22,5,1,12,26,0,,1_Order,25,48,5,0,0,,,,,,,25,26,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0066,Product-66,n,4:Decline,Freq 6/6,foo,2nd Most Important,69.55,USD,113,5,0,56,0,39,22,5,1,12,26,0,,2_Incoming,48,5,0,33,6,,,,,,,25,26,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0066,Product-66,n,4:Decline,Freq 6/6,foo,2nd Most Important,69.55,USD,113,5,0,56,0,39,22,5,1,12,26,0,,3_Forecast,28,26,27,30,25,22,22,28,30,22,25,25,26,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0066,Product-66,n,4:Decline,Freq 6/6,foo,2nd Most Important,69.55,USD,113,5,0,56,0,39,22,5,1,12,26,0,,4_End_Stock,11,-9,12,39,36,56,,,,,,25,26,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0075,Product-75,n,4:Decline,Freq 6/6,foo,2nd Most Important,230.81,USD,295,11,0,78,0,143,81,30,0,5,38,0,,1_Order,69,145,30,0,0,,,,,,,63,66,6,100,70,35,G,R3Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0075,Product-75,n,4:Decline,Freq 6/6,foo,2nd Most Important,230.81,USD,295,11,0,78,0,143,81,30,0,5,38,0,,2_Incoming,145,30,0,2,141,,,,,,,63,66,6,100,70,35,G,R3Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0075,Product-75,n,4:Decline,Freq 6/6,foo,2nd Most Important,230.81,USD,295,11,0,78,0,143,81,30,0,5,38,0,,3_Forecast,90,65,65,85,65,77,54,49,54,56,87,63,66,6,100,70,35,G,R3Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0075,Product-75,n,4:Decline,Freq 6/6,foo,2nd Most Important,230.81,USD,295,11,0,78,0,143,81,30,0,5,38,0,,4_End_Stock,25,-30,5,70,153,78,,,,,,63,66,6,100,70,35,G,R3Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0079,Product-79,y,2:Upturn,Freq 6/6,foo,Most Important,108.15,USD,620,15,0,357,0,116,162,160,703,-7,68,0,4,1_Order,164,188,160,0,0,,,,,,,148,150,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0079,Product-79,y,2:Upturn,Freq 6/6,foo,Most Important,108.15,USD,620,15,0,357,0,116,162,160,703,-7,68,0,4,2_Incoming,164,188,160,0,116,,,,,,,148,150,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0079,Product-79,y,2:Upturn,Freq 6/6,foo,Most Important,108.15,USD,620,15,0,357,0,116,162,160,703,-7,68,0,4,3_Forecast,180,150,150,180,150,143,131,127,173,151,161,148,150,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0079,Product-79,y,2:Upturn,Freq 6/6,foo,Most Important,108.15,USD,620,15,0,357,0,116,162,160,703,-7,68,0,4,4_End_Stock,175,191,153,143,323,357,,,,,,148,150,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0080,Product-80,y,1:New Product,Freq 6/6,foo,Most Important,88.81,USD,2115,52,0,1090,2,664,413,400,1060,128,391,0,4,1_Order,532,604,400,0,0,,,,,,,468,492,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0080,Product-80,y,1:New Product,Freq 6/6,foo,Most Important,88.81,USD,2115,52,0,1090,2,664,413,400,1060,128,391,0,4,2_Incoming,532,604,400,216,450,,,,,,,468,492,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0080,Product-80,y,1:New Product,Freq 6/6,foo,Most Important,88.81,USD,2115,52,0,1090,2,664,413,400,1060,128,391,0,4,3_Forecast,575,525,525,575,525,413,397,388,484,492,631,468,492,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0080,Product-80,y,1:New Product,Freq 6/6,foo,Most Important,88.81,USD,2115,52,0,1090,2,664,413,400,1060,128,391,0,4,4_End_Stock,564,608,529,653,1013,1088,,,,,,468,492,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0081,Product-81,y,1:New Product,Freq 6/6,foo,Most Important,184.8,USD,1131,29,0,485,2,325,350,229,0,-60,80,0,,1_Order,282,429,229,0,0,,,,,,,277,278,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0081,Product-81,y,1:New Product,Freq 6/6,foo,Most Important,184.8,USD,1131,29,0,485,2,325,350,229,0,-60,80,0,,2_Incoming,282,429,229,200,127,,,,,,,277,278,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0081,Product-81,y,1:New Product,Freq 6/6,foo,Most Important,184.8,USD,1131,29,0,485,2,325,350,229,0,-60,80,0,,3_Forecast,300,280,280,300,290,294,221,270,283,255,336,277,278,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0081,Product-81,y,1:New Product,Freq 6/6,foo,Most Important,184.8,USD,1131,29,0,485,2,325,350,229,0,-60,80,0,,4_End_Stock,300,318,169,220,320,483,,,,,,277,278,12,100,95,28,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0084,Product-84,n,4:Decline,Freq 6/6,foo,2nd Most Important,192.19,USD,1077,20,0,230,0,521,341,96,0,-29,96,0,4,1_Order,256,536,96,0,0,,,,,,,226,250,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0084,Product-84,n,4:Decline,Freq 6/6,foo,2nd Most Important,192.19,USD,1077,20,0,230,0,521,341,96,0,-29,96,0,4,2_Incoming,536,96,0,200,321,,,,,,,226,250,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0084,Product-84,n,4:Decline,Freq 6/6,foo,2nd Most Important,192.19,USD,1077,20,0,230,0,521,341,96,0,-29,96,0,4,3_Forecast,280,250,250,280,250,280,218,219,203,198,240,226,250,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0084,Product-84,n,4:Decline,Freq 6/6,foo,2nd Most Important,192.19,USD,1077,20,0,230,0,521,341,96,0,-29,96,0,4,4_End_Stock,72,-184,-30,221,301,230,,,,,,226,250,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0085,Product-85,n,3:Mature,Freq 6/6,foo,2nd Most Important,199.65,USD,110,5,0,22,0,64,28,0,0,5,18,0,4,1_Order,24,60,0,0,0,,,,,,,17,21,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0085,Product-85,n,3:Mature,Freq 6/6,foo,2nd Most Important,199.65,USD,110,5,0,22,0,64,28,0,0,5,18,0,4,2_Incoming,60,0,0,43,21,,,,,,,17,21,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0085,Product-85,n,3:Mature,Freq 6/6,foo,2nd Most Important,199.65,USD,110,5,0,22,0,64,28,0,0,5,18,0,4,3_Forecast,30,25,25,30,25,15,19,13,14,13,26,17,21,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0085,Product-85,n,3:Mature,Freq 6/6,foo,2nd Most Important,199.65,USD,110,5,0,22,0,64,28,0,0,5,18,0,4,4_End_Stock,10,-20,5,30,17,22,,,,,,17,21,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0090,Product-90,n,3:Mature,Freq 6/6,foo,2nd Most Important,148.86,USD,565,60,0,229,0,218,175,8,0,37,102,0,,1_Order,139,324,8,0,0,,,,,,,133,131,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0090,Product-90,n,3:Mature,Freq 6/6,foo,2nd Most Important,148.86,USD,565,60,0,229,0,218,175,8,0,37,102,0,,2_Incoming,324,8,0,31,187,,,,,,,133,131,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0090,Product-90,n,3:Mature,Freq 6/6,foo,2nd Most Important,148.86,USD,565,60,0,229,0,218,175,8,0,37,102,0,,3_Forecast,150,130,130,150,130,123,149,110,98,131,187,133,131,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0090,Product-90,n,3:Mature,Freq 6/6,foo,2nd Most Important,148.86,USD,565,60,0,229,0,218,175,8,0,37,102,0,,4_End_Stock,88,-86,36,167,286,229,,,,,,133,131,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0098,Product-98,n,3:Mature,Freq 6/6,foo,2nd Most Important,93.09,USD,880,24,0,221,0,399,277,160,169,-20,80,0,,1_Order,215,370,160,0,0,,,,,,,192,210,6,100,70,35,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0098,Product-98,n,3:Mature,Freq 6/6,foo,2nd Most Important,93.09,USD,880,24,0,221,0,399,277,160,169,-20,80,0,,2_Incoming,370,160,0,0,399,,,,,,,192,210,6,100,70,35,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0098,Product-98,n,3:Mature,Freq 6/6,foo,2nd Most Important,93.09,USD,880,24,0,221,0,399,277,160,169,-20,80,0,,3_Forecast,240,200,200,240,200,232,157,158,206,171,227,192,210,6,100,70,35,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0098,Product-98,n,3:Mature,Freq 6/6,foo,2nd Most Important,93.09,USD,880,24,0,221,0,399,277,160,169,-20,80,0,,4_End_Stock,70,-60,-20,180,419,221,,,,,,192,210,6,100,70,35,0,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0102,Product-102,n,3:Mature,Freq 6/6,foo,Normal,41.23,USD,79,10,0,72,0,0,17,9,11,14,24,0,,1_Order,17,29,9,0,0,,,,,,,18,21,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0102,Product-102,n,3:Mature,Freq 6/6,foo,Normal,41.23,USD,79,10,0,72,0,0,17,9,11,14,24,0,,2_Incoming,29,9,0,0,0,,,,,,,18,21,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0102,Product-102,n,3:Mature,Freq 6/6,foo,Normal,41.23,USD,79,10,0,72,0,0,17,9,11,14,24,0,,3_Forecast,20,18,19,21,18,31,13,20,13,10,19,18,21,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0102,Product-102,n,3:Mature,Freq 6/6,foo,Normal,41.23,USD,79,10,0,72,0,0,17,9,11,14,24,0,,4_End_Stock,14,4,13,33,54,72,,,,,,18,21,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0104,Product-104,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,240,9,0,75,1,104,68,40,0,4,32,0,4,1_Order,56,96,40,0,0,,,,,,,48,45,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0104,Product-104,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,240,9,0,75,1,104,68,40,0,4,32,0,4,2_Incoming,96,40,0,37,68,,,,,,,48,45,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0104,Product-104,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,240,9,0,75,1,104,68,40,0,4,32,0,4,3_Forecast,65,55,55,65,54,51,62,38,44,37,58,48,45,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0104,Product-104,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,240,9,0,75,1,104,68,40,0,4,32,0,4,4_End_Stock,20,-11,4,59,87,74,,,,,,48,45,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0105,Product-105,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,146,15,0,23,0,68,70,12,0,-14,4,0,4,1_Order,32,96,12,0,0,,,,,,,29,29,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0105,Product-105,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,146,15,0,23,0,68,70,12,0,-14,4,0,4,2_Incoming,96,12,0,30,38,,,,,,,29,29,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0105,Product-105,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,146,15,0,23,0,68,70,12,0,-14,4,0,4,3_Forecast,35,35,35,35,35,46,27,24,27,21,27,29,29,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0105,Product-105,n,3:Mature,Freq 6/6,foo,2nd Most Important,191.21,USD,146,15,0,23,0,68,70,12,0,-14,4,0,4,4_End_Stock,24,-37,-14,21,26,23,,,,,,29,29,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0106,Product-106,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,104,5,0,52,0,40,17,8,5,17,30,0,4,1_Order,24,36,8,0,0,,,,,,,17,19,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0106,Product-106,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,104,5,0,52,0,40,17,8,5,17,30,0,4,2_Incoming,36,8,0,7,33,,,,,,,17,19,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0106,Product-106,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,104,5,0,52,0,40,17,8,5,17,30,0,4,3_Forecast,25,25,25,25,25,21,15,15,24,11,13,17,19,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0106,Product-106,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,104,5,0,52,0,40,17,8,5,17,30,0,4,4_End_Stock,11,0,17,42,60,52,,,,,,17,19,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0107,Product-107,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,146,11,0,45,0,84,28,20,0,24,42,0,4,1_Order,32,48,20,0,0,,,,,,,29,26,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0107,Product-107,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,146,11,0,45,0,84,28,20,0,24,42,0,4,2_Incoming,48,20,0,25,59,,,,,,,29,26,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0107,Product-107,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,146,11,0,45,0,84,28,20,0,24,42,0,4,3_Forecast,35,35,35,35,35,54,27,25,21,21,24,29,26,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0107,Product-107,n,4:Decline,Freq 6/6,foo,2nd Most Important,191.21,USD,146,11,0,45,0,84,28,20,0,24,42,0,4,4_End_Stock,21,8,23,59,68,45,,,,,,29,26,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0115,Product-115,y,2:Upturn,Freq 6/6,foo,Most Important,31.51,USD,1623,133,0,812,0,816,128,120,0,377,577,0,6,1_Order,420,468,120,0,0,,,,,,,296,374,12,100,95,28,I,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0115,Product-115,y,2:Upturn,Freq 6/6,foo,Most Important,31.51,USD,1623,133,0,812,0,816,128,120,0,377,577,0,6,2_Incoming,420,468,120,108,708,,,,,,,296,374,12,100,95,28,I,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0115,Product-115,y,2:Upturn,Freq 6/6,foo,Most Important,31.51,USD,1623,133,0,812,0,816,128,120,0,377,577,0,6,3_Forecast,450,400,400,450,400,283,206,399,280,281,327,296,374,12,100,95,28,I,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0115,Product-115,y,2:Upturn,Freq 6/6,foo,Most Important,31.51,USD,1623,133,0,812,0,816,128,120,0,377,577,0,6,4_End_Stock,536,566,498,777,1120,812,,,,,,296,374,12,100,95,28,I,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0123,Product-123,n,3:Mature,Freq 6/6,foo,Normal,32.73,USD,61,4,0,42,0,25,-3,0,0,22,30,0,,1_Order,13,13,0,0,0,,,,,,,13,14,12,100,70,35,I,R1Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0123,Product-123,n,3:Mature,Freq 6/6,foo,Normal,32.73,USD,61,4,0,42,0,25,-3,0,0,22,30,0,,2_Incoming,13,0,0,11,14,,,,,,,13,14,12,100,70,35,I,R1Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0123,Product-123,n,3:Mature,Freq 6/6,foo,Normal,32.73,USD,61,4,0,42,0,25,-3,0,0,22,30,0,,3_Forecast,15,14,15,16,13,9,13,10,10,17,21,13,14,12,100,70,35,I,R1Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0123,Product-123,n,3:Mature,Freq 6/6,foo,Normal,32.73,USD,61,4,0,42,0,25,-3,0,0,22,30,0,,4_End_Stock,7,9,22,37,42,42,,,,,,13,14,12,100,70,35,I,R1Q,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0130,Product-130,n,3:Mature,Freq 6/6,foo,Normal,54,USD,1434,84,0,1044,12,348,106,108,0,412,567,0,6,1_Order,282,372,108,0,0,,,,,,,280,323,12,100,70,42,0,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0130,Product-130,n,3:Mature,Freq 6/6,foo,Normal,54,USD,1434,84,0,1044,12,348,106,108,0,412,567,0,6,2_Incoming,372,108,0,252,108,,,,,,,280,323,12,100,70,42,0,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0130,Product-130,n,3:Mature,Freq 6/6,foo,Normal,54,USD,1434,84,0,1044,12,348,106,108,0,412,567,0,6,3_Forecast,360,310,310,360,310,220,222,238,401,348,250,280,323,12,100,70,42,0,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0130,Product-130,n,3:Mature,Freq 6/6,foo,Normal,54,USD,1434,84,0,1044,12,348,106,108,0,412,567,0,6,4_End_Stock,222,210,412,722,830,1032,,,,,,280,323,12,100,70,42,0,V31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0132,Product-132,n,3:Mature,Freq 6/6,foo,2nd Most Important,118.65,USD,131,10,0,21,0,70,48,9,0,-6,10,0,,1_Order,28,81,9,0,0,,,,,,,24,22,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0132,Product-132,n,3:Mature,Freq 6/6,foo,2nd Most Important,118.65,USD,131,10,0,21,0,70,48,9,0,-6,10,0,,2_Incoming,81,9,0,60,10,,,,,,,24,22,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0132,Product-132,n,3:Mature,Freq 6/6,foo,2nd Most Important,118.65,USD,131,10,0,21,0,70,48,9,0,-6,10,0,,3_Forecast,39,28,31,36,29,35,23,23,19,23,22,24,22,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0132,Product-132,n,3:Mature,Freq 6/6,foo,2nd Most Important,118.65,USD,131,10,0,21,0,70,48,9,0,-6,10,0,,4_End_Stock,16,-25,-6,25,1,21,,,,,,24,22,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0141,Product-141,n,3:Mature,Freq 6/6,foo,Normal,85.41,USD,19,2,0,2,0,8,11,12,0,-5,-3,3,4,1_Order,4,8,12,0,0,,,,,,,4,3,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0141,Product-141,n,3:Mature,Freq 6/6,foo,Normal,85.41,USD,19,2,0,2,0,8,11,12,0,-5,-3,3,4,2_Incoming,8,12,0,0,8,,,,,,,4,3,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0141,Product-141,n,3:Mature,Freq 6/6,foo,Normal,85.41,USD,19,2,0,2,0,8,11,12,0,-5,-3,3,4,3_Forecast,5,4,5,5,4,6,4,3,4,3,6,4,3,12,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
